DISTCODE地区代码,County Name,County Name,City Name,City Name,Province Name,Province Name,C1997,C1998,C1999,C2000,C2001,C2002,C2003,C2004,C2005,C2006,C2007,C2008,C2009,C2010,C2011,C2012,C2013,C2014,C2015,C2016,C2017
340321,怀远县,Huaiyuan County,蚌埠市,Bengbu City,安徽省,Anhui Province,1.703413772,1.637083023,1.697794674,1.798433253,1.761807091,1.96812083,2.24365519,2.462823684,2.816491477,3.074673552,3.224394645,3.400230094,3.705242936,4.028274038,4.408283214,4.527491734,4.463435811,4.441537554,4.287281882,4.510693571,4.33111502
340322,五河县,Wuhe County,蚌埠市,Bengbu City,安徽省,Anhui Province,0.78229053,0.785599258,0.809114837,0.867032978,0.833695144,0.885691424,1.050306616,1.139138442,1.295327686,1.412140993,1.492014317,1.57966894,1.721120485,1.892598664,2.129690762,2.169114016,2.145753075,2.272418232,2.27516323,2.283588686,2.247706774
340323,固镇县,Guzhen County,蚌埠市,Bengbu City,安徽省,Anhui Province,0.66142,0.6398233,0.656280092,0.693919795,0.664931651,0.712109984,0.823332684,0.891559013,1.018846412,1.119595963,1.133154054,1.249135624,1.360486592,1.475118664,1.662435094,1.72038172,1.691646072,1.762115654,1.584548024,1.619162448,1.62016198
340402,大通区,Datong District,淮南市,Huainan City,安徽省,Anhui Province,0.967899763,0.898865274,0.926451352,0.994667275,0.948880154,1.030744004,1.18198936,1.316175939,1.506952137,1.685295429,1.698323786,1.795449966,1.95709081,2.160832963,2.541423765,2.58853396,2.544204496,2.695523856,2.562033041,2.572455227,2.46738793
340403,田家庵区,Tianjia'an District,淮南市,Huainan City,安徽省,Anhui Province,1.323401319,1.225002232,1.257126986,1.318337581,1.254644,1.332149557,1.513930846,1.637710621,1.860693131,2.069735007,2.143029053,2.327164779,2.547016623,2.946837654,3.293864026,3.306143752,3.287933218,3.31048161,3.100769971,3.277109525,3.274835154
340404,谢家集区,Xiejiaji District,淮南市,Huainan City,安徽省,Anhui Province,0.811853291,0.750322514,0.758752816,0.795697143,0.757254182,0.803809891,0.912733908,0.987359509,1.121170323,1.221045296,1.235605141,1.282422548,1.396740793,1.502316058,1.612320482,1.618331311,1.596996134,1.743786835,1.573053336,1.605471976,1.529566566
340405,八公山区,Bagongshan District,淮南市,Huainan City,安徽省,Anhui Province,0.570486445,0.527248985,0.533172928,0.559133577,0.532119844,0.564834376,0.641374899,0.693814045,0.787842432,0.85683938,0.858168582,0.890279223,0.969640864,1.037920553,1.100718791,1.104822337,1.082270632,1.049726066,0.934201877,0.929829247,0.879650376
340406,潘集区,Panji District,淮南市,Huainan City,安徽省,Anhui Province,1.424251498,1.321667428,1.353129589,1.432951712,1.364593328,1.449229034,1.648348215,1.789034445,2.082653331,2.394878714,2.65134406,2.81624897,3.073338574,3.332360715,3.786717805,3.903609091,3.874621032,4.162626249,3.824734051,3.858828214,3.766685689
340421,凤台县,Fengtai County,淮南市,Huainan City,安徽省,Anhui Province,1.968543091,1.835601171,1.870389518,1.961827158,1.87245451,2.023881784,2.350515947,2.587751172,3.073334828,3.911560294,4.320677566,4.501910485,4.903221662,5.334768858,5.767867413,5.804569372,5.688922078,5.798315597,5.201003725,5.299970996,5.18299509
340502,金家庄区,Jinjiazhuang District,马鞍山市,Maanshan City,安徽省,Anhui Province,1.062949653,0.985327883,0.998846758,1.047481466,0.996873908,1.062236902,1.206180279,1.309576855,1.496099601,1.635554344,1.6535718,1.719240429,1.872497674,2.005467849,2.126806468,2.134735332,2.091160976,2.099789467,1.958438389,1.95713304,1.857706445
340503,花山区,Huashan District,马鞍山市,Maanshan City,安徽省,Anhui Province,0.663103955,0.626853909,0.636694861,0.667696082,0.635960876,0.703403124,0.802297102,0.891559013,1.081377691,1.190132757,1.26178083,1.423161999,1.550026098,1.657681172,1.807731417,1.815194512,1.779206126,1.733063264,1.55909641,1.551888802,1.495453204
340504,雨山区,Yushan District,马鞍山市,Maanshan City,安徽省,Anhui Province,1.401424555,1.304893682,1.320778985,1.385088851,1.318519324,1.52499724,1.797911204,2.046398724,2.351382793,2.59777738,2.658661995,2.79551764,3.044716837,3.295304266,3.648632218,3.664767708,3.593152679,3.750402745,3.42546926,3.4483116,3.262414652
340521,当涂县,Dangtu County,马鞍山市,Maanshan City,安徽省,Anhui Province,2.835405569,2.622756756,2.655897157,2.792183615,2.664264195,2.991825246,3.523460006,3.887315623,4.458066738,4.900480523,5.116925161,5.731774732,6.243036999,7.067242864,8.081071396,8.296119255,8.192714242,8.289654859,7.789947684,8.030349331,7.714665239
340602,杜集区,Duji District,淮北市,Huaibei City,安徽省,Anhui Province,1.023657376,0.957486923,1.009688582,1.059401336,1.008566932,1.100213631,1.258348523,1.371016603,1.623746095,1.917701519,2.130644855,2.218252299,2.416310688,2.585792247,2.825887285,2.840403055,2.785260517,2.867497113,2.617585433,2.684662625,2.673750498
340603,相山区,Xiangshan District,淮北市,Huaibei City,安徽省,Anhui Province,0.880521223,0.822086478,0.854755419,0.924615118,0.884481262,0.946083686,1.105630197,1.20399151,1.397651596,1.608014081,1.674962686,1.737635834,1.892532891,2.053063289,2.182329132,2.213987246,2.168795194,2.125041385,1.953661507,1.956632528,1.890567659
340604,烈山区,Lieshan District,淮北市,Huaibei City,安徽省,Anhui Province,1.082782898,1.037205447,1.064422307,1.123035102,1.07715437,1.143933182,1.299578264,1.408335561,1.629172363,1.844354494,1.875642974,1.949037001,2.122778868,2.269962507,2.427133606,2.47779841,2.469406231,2.913497889,2.954868816,3.100511418,3.127936394
340621,濉溪县,Suixi County,淮北市,Huaibei City,安徽省,Anhui Province,2.161636567,2.053659869,2.124298042,2.259640516,2.175076947,2.326584103,2.678671028,2.945239484,3.54593693,4.141999222,4.944390776,5.274809502,5.74756292,6.212904721,6.753214434,6.836291771,6.733970825,6.812600487,6.315805641,6.472298742,6.232862989
340702,铜官山区,Tongguanshan District,铜陵市,Tongling City,安徽省,Anhui Province,0.488533981,0.456695496,0.463050808,0.48559715,0.462136224,0.490548189,0.557232571,0.604385078,0.686293703,0.74920754,0.755436036,0.783702668,0.853563818,0.916212215,0.971646623,0.975630862,0.955716222,0.963126869,0.891087702,0.920867064,0.877652478
340703,狮子山区,Shizishan District,铜陵市,Tongling City,安徽省,Anhui Province,0.211055661,0.196788896,0.206868998,0.216941627,0.206983973,0.242310057,0.276828261,0.325630665,0.402060618,0.49038528,0.508033549,0.554782068,0.604236682,0.645938111,0.724678929,0.728466219,0.713596719,0.711659349,0.67028092,0.756109474,0.785709519
340711,郊区,Jiao District,铜陵市,Tongling City,安徽省,Anhui Province,0.641773862,0.601779753,0.612912795,0.642756047,0.611876737,0.664500134,0.774530134,0.955046752,1.095589345,1.244089189,1.253899978,1.300817954,1.416776009,1.515574788,1.633231615,1.663204541,1.629255102,1.565831467,1.399092304,1.389686371,1.301224727
340721,铜陵县,Tongling County,铜陵市,Tongling City,安徽省,Anhui Province,0.966402914,0.921345553,0.959501429,1.049315292,1.044169572,1.129112995,1.313041036,1.428587923,1.732529849,2.012125275,2.170330578,2.373007297,2.584542901,2.947517589,3.451779136,3.523634163,3.459153891,3.670904483,3.452123318,3.595008049,3.534106398
340802,迎江区,Yingjiang District,安庆市,Anqing City,安徽省,Anhui Province,0.510425392,0.488686661,0.497849566,0.52704162,0.505941432,0.595401012,0.70321951,0.768679516,0.904636391,0.983861814,0.994676211,1.056129863,1.15027583,1.312274267,1.583838076,1.641129807,1.670730917,1.663398653,1.534090658,1.59252641,1.58400442
340803,大观区,Daguan District,安庆市,Anqing City,安徽省,Anhui Province,0.75553436,0.698617874,0.706467245,0.741232508,0.705420927,0.749530956,0.851520364,0.921141113,1.04649454,1.138143487,1.139909071,1.183437748,1.288932248,1.387407068,1.472432211,1.477921528,1.447754098,1.44107162,1.336620563,1.365462208,1.306809559
340811,宜秀区,Yixiu District,安庆市,Anqing City,安徽省,Anhui Province,0.779671044,0.742022103,0.782534881,0.82705557,0.810134573,0.93052249,1.159691643,1.254508636,1.468968261,1.604079758,1.683124998,1.782602381,1.941507864,2.107798045,2.303108953,2.374300477,2.327608572,2.311561575,2.137616179,2.211081423,2.267033478
340822,怀宁县,Huaining County,安庆市,Anqing City,安徽省,Anhui Province,0.923929834,0.949532363,1.020530406,1.078106362,1.035443434,1.207474734,1.436730259,1.56580336,1.835887334,2.008752998,2.072664295,2.176497649,2.370515908,2.561654559,2.804615615,2.889618855,2.859704288,3.042209143,2.862141802,3.0317612,2.947217107
340823,枞阳县,Zongyang County,安庆市,Anqing City,安徽省,Anhui Province,0.713622597,0.718504274,0.754905717,0.822104239,0.815195733,0.938303088,1.180096157,1.30047467,1.530465965,1.681923152,1.948822322,2.115179631,2.303731854,2.486521758,2.834900704,2.877314905,2.818937461,2.728002208,2.46191032,2.471306573,2.339818457
340824,潜山县,Qianshan County,安庆市,Anqing City,安徽省,Anhui Province,0.493211633,0.510302313,0.523555181,0.554549012,0.52810582,0.564093367,0.647475218,0.705191776,0.817816103,0.941989375,0.990454326,1.04445024,1.137555058,1.270798241,1.45801074,1.557535323,1.545594483,1.504553982,1.353697421,1.406923634,1.358438496
340825,太湖县,Taihu County,安庆市,Anqing City,安徽省,Anhui Province,0.385812741,0.416749771,0.447662413,0.474227429,0.45236295,0.485731628,0.559546485,0.607115734,0.690428002,0.753141863,0.776545463,0.808229876,0.880277439,0.94714925,1.102160938,1.149333686,1.131545319,1.107155873,1.001961854,1.009710385,0.956180955
340826,宿松县,Susong County,安庆市,Anqing City,安徽省,Anhui Province,0.355688662,0.374037243,0.397300391,0.422880298,0.408557741,0.438862787,0.51095429,0.558419045,0.721435248,0.839696972,0.955553406,1.031894646,1.123880228,1.212323843,1.323169984,1.330274128,1.30772891,1.267331304,1.132850015,1.148204135,1.096050956
340827,望江县,Wangjiang County,安庆市,Anqing City,安徽省,Anhui Province,0.310596096,0.313167567,0.353408491,0.383636419,0.36963917,0.39551374,0.451633948,0.491290431,0.582161036,0.636798306,0.903764945,1.0549619,1.156954236,1.33029254,1.475316505,1.491311121,1.486039466,1.4485006,1.284109223,1.291484822,1.256524468
340828,岳西县,Yuexi County,安庆市,Anqing City,安徽省,Anhui Province,0.117876832,0.181052701,0.197600987,0.231795619,0.222865543,0.241013291,0.287346052,0.315390707,0.38965772,0.470713664,0.509722303,0.546314341,0.596286199,0.663956384,0.751719187,0.808080013,0.907150523,0.882568102,0.795371555,0.800408657,0.757332793
340881,桐城市,Tongcheng City,安庆市,Anqing City,安徽省,Anhui Province,0.667781607,0.701557603,0.826077046,0.892156396,0.867028987,0.98128163,1.144966735,1.239034922,1.444679252,1.605484874,1.735757837,1.889762917,2.060129065,2.275401986,2.636244938,2.739800169,2.719324605,2.786118076,2.541668052,2.660917897,2.626273627
341002,屯溪区,Tunxi District,黄山市,Huangshan City,安徽省,Anhui Province,0.571421975,0.533301367,0.582485741,0.626434995,0.652191491,0.738971573,0.937555895,1.157797921,1.497649963,1.723514569,1.927712895,2.008603076,2.187654807,2.373652572,2.531328735,2.548003301,2.496347786,2.435503043,2.196704535,2.186617901,2.100829139
341003,黄山区,Huangshan District,黄山市,Huangshan City,安徽省,Anhui Province,0.216481737,0.206645633,0.216311877,0.24664961,0.247996818,0.320671796,0.474142021,0.648985785,0.810581079,0.900116935,0.973285325,1.047662136,1.141689309,1.239521237,1.32028569,1.326655319,1.300639027,1.256012021,1.127354113,1.121642052,1.061777659
341004,徽州区,Huizhou District,黄山市,Huangshan City,安徽省,Anhui Province,0.133406637,0.129348062,0.132550042,0.153491244,0.152009309,0.198405253,0.267993316,0.353847439,0.464333503,0.545465804,0.676064589,0.715668867,0.779465319,0.848898664,0.953619784,1.059949108,1.068799855,1.088366634,1.028831655,1.044357525,1.177385334
341021,歙县,She County,黄山市,Huangshan City,安徽省,Anhui Province,0.378515604,0.365909758,0.416710754,0.476978168,0.474527338,0.570021442,0.736245374,0.83876634,1.081894478,1.257016251,1.440225855,1.539374243,1.677869859,1.811686416,1.967449211,2.001925048,1.964252071,1.880228354,1.693113543,1.687997852,1.611749963
341022,休宁县,Xiuning County,黄山市,Huangshan City,安徽省,Anhui Province,0.190848204,0.184857056,0.221383052,0.261136836,0.250091091,0.290846169,0.357815252,0.476271826,0.666138993,0.794733279,1.000023933,1.045034221,1.138509116,1.283717003,1.392753583,1.412782969,1.394579976,1.357290528,1.227449135,1.227563227,1.150779155
341023,黟县,Yi County,黄山市,Huangshan City,安徽省,Anhui Province,0.044344141,0.045133481,0.04581545,0.0506136,0.052531346,0.072248412,0.132313812,0.16588732,0.198963159,0.232968136,0.351542328,0.387763466,0.422965677,0.463035635,0.51737028,0.52002283,0.511180561,0.498790784,0.44957724,0.450407298,0.421644544
341024,祁门县,Qimen County,黄山市,Huangshan City,安徽省,Anhui Province,0.087939859,0.083695805,0.088483274,0.098293079,0.101223191,0.123192804,0.176909246,0.191373438,0.226352893,0.246738267,0.35970464,0.37929574,0.413743117,0.461335798,0.502948809,0.537031231,0.540603575,0.524917056,0.468668762,0.466408226,0.43824023
341102,琅琊区,Langya District,滁州市,Chuzhou City,安徽省,Anhui Province,0.886508617,0.834537094,0.852657002,0.899675083,0.856208577,1.002585649,1.180727225,1.292510258,1.550362281,1.864869179,1.938408338,2.081600716,2.269067749,2.511679348,2.819037086,2.849450077,2.811493083,2.833478147,2.686562445,2.709890853,2.580970813
341103,南谯区,Nanqiao District,滁州市,Chuzhou City,安徽省,Anhui Province,0.917006909,0.864971932,0.880985639,0.942403231,0.900188309,0.994249294,1.171050857,1.272257897,1.507210531,1.699346583,1.790360888,1.998675397,2.186700749,2.529697621,3.407793648,3.61663755,3.73601382,3.812780496,3.74117394,3.989881024,3.988414105
341122,来安县,Lai'an County,滁州市,Chuzhou City,安徽省,Anhui Province,1.205524487,1.16292208,1.192950382,1.29578152,1.235621021,1.314365332,1.543380661,1.675939798,1.96921849,2.185516517,2.262930599,2.402790335,2.635107971,2.888023289,3.594551701,3.727373101,3.743812691,3.926710211,3.6760125,3.828283285,4.000588567
341124,全椒县,Quanjiao County,滁州市,Chuzhou City,安徽省,Anhui Province,0.932910926,0.895233845,0.937642913,1.030426884,0.995477726,1.067609219,1.229109064,1.336200746,1.577493621,1.756675292,1.940097092,2.178249592,2.387370931,2.670104168,3.38075339,3.438954036,3.376556755,3.394686499,3.194748295,3.492589708,3.489652735
341125,定远县,Dingyuan County,滁州市,Chuzhou City,安徽省,Anhui Province,1.012992329,1.031153065,1.068968878,1.137522328,1.087800257,1.174129313,1.364578213,1.494578763,1.708499233,1.884259772,2.011587686,2.22380012,2.426169286,2.780593582,3.524607565,3.614466265,3.581099878,3.551515686,3.211588691,3.241967565,3.099298025
341126,凤阳县,Fengyang County,滁州市,Chuzhou City,安徽省,Anhui Province,1.390198191,1.398273299,1.44563483,1.542064365,1.481698088,1.591688081,1.863121509,2.028877018,2.323217878,2.543539925,2.652469896,2.865011394,3.128037895,3.558779022,4.373671683,4.46018189,4.458472893,4.554130365,4.146990672,4.558404075,4.522346766
341181,天长市,Tianchang City,滁州市,Chuzhou City,安徽省,Anhui Province,2.193818814,2.079771577,2.15822246,2.300351456,2.205443904,2.356594982,2.735677456,2.965946955,3.379272985,3.873622177,4.04963252,4.21897163,4.600467282,5.037977295,5.595530832,5.728936267,5.6633985,6.055235221,5.595139432,5.641577636,5.404083378
341182,明光市,Mingguang City,滁州市,Chuzhou City,安徽省,Anhui Province,0.722603689,0.747728635,0.77519042,0.821187326,0.78831923,0.839563592,1.041471671,1.151198837,1.387315848,1.541411611,1.652164505,1.81326139,1.979670181,2.165932475,2.498519888,2.538956279,2.492802845,2.523210351,2.49534033,2.803255184,2.775424815
341202,颍州区,Yingzhou District,阜阳市,Fuyang City,安徽省,Anhui Province,1.271198722,1.1795229,1.227049668,1.287162537,1.224975133,1.31973765,1.580192929,1.773560731,2.018313296,2.26504605,2.37298108,2.528638267,2.755319268,3.085204396,3.587340965,3.713621627,3.656252637,3.887137203,3.849358817,4.131861287,4.374833499
341203,颍东区,Yingdong District,阜阳市,Fuyang City,安徽省,Anhui Province,1.018605511,1.020258776,1.075438999,1.128719962,1.074362006,1.14133965,1.300840399,1.4151622,1.627363607,1.801357963,1.848341448,1.932393539,2.104969787,2.274722051,2.652469093,2.682261109,2.628928598,2.651246088,2.384457509,2.437625983,2.525174848
341204,颍泉区,Yingquan District,阜阳市,Fuyang City,安徽省,Anhui Province,1.055091197,1.001409928,1.079286098,1.133121145,1.078376029,1.145970958,1.304837159,1.428815477,1.657078884,1.883697726,1.938689797,2.01590284,2.19560529,2.386571335,2.591177841,2.740523931,2.685293167,2.918256798,2.652421758,2.759737369,2.761592447
341221,临泉县,Linquan County,阜阳市,Fuyang City,安徽省,Anhui Province,1.541379905,1.482487879,1.539364148,1.617434617,1.54347914,1.652080343,1.87868784,2.032745446,2.309781405,2.528083656,2.580697844,2.72777583,2.974116551,3.229350585,3.569674663,3.595286578,3.527216767,3.498764306,3.265700349,4.110121789,4.206190663
341222,太和县,Taihe County,阜阳市,Fuyang City,安徽省,Anhui Province,1.703226666,1.656104797,1.722101344,1.813287244,1.726902542,1.844742774,2.117652053,2.290792389,2.606417388,2.87851944,2.988531978,3.157001956,3.438424738,3.806615276,4.296516812,4.361388409,4.272363465,4.26440485,4.218724906,4.511039054,4.481000258
