"Data Source","世界发展指标",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"阿鲁巴","ABW","二氧化碳排放量（千克/2011 年PPP美元GDP）","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","二氧化碳排放量（千克/2011 年PPP美元GDP）","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.323461369732006","0.317397922141504","0.319724016540979","0.33049702040714","0.33388798539812","0.335197183808563","0.330150794877203","0.331890313459761","0.334141731742141","0.312167269073864","0.3060087980479","0.326004039363487","0.322485752393359","0.329285151230032","0.334258940610871","0.314950762978327","0.299570848870559","0.293020958039919","0.299263663725171","0.28728812436326","0.287977399707345","0.272642335653811","0.277538005028292","0.277081798953134","0.276402325218125","0.261485979538105","0.256805159845674","0.253734997506174","0.247993107979642","0.247694230921839","","",
"阿富汗","AFG","二氧化碳排放量（千克/2011 年PPP美元GDP）","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0383041237753872","0.0416879406106186","0.0347047879673937","0.0469529673095102","0.0506033147932979","0.0447091969210682","0.0865273957472258","0.0977099232426623","0.124481562361171","0.155682284590837","0.124932007646257","0.0877045627099812","0.0695570243379215","0.0835950255647172","0.072816909990457","0.0639790815690618","0.0802905635114787","0.0773954322577205","","",
"","AFW","二氧化碳排放量（千克/2011 年PPP美元GDP）","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.170137451814544","0.19129505861706","0.205538643398089","0.196454984079847","0.181571274745044","0.194463403583638","0.214572870558557","0.205700739011901","0.191081859229796","0.191685033478526","0.197147068344058","0.197566450293557","0.171222353466107","0.173031223091348","0.16043144946284","0.155964513591265","0.141919289294986","0.128968667029546","0.128824128651824","0.117794833261425","0.12442148294582","0.123111831763103","0.121178671564474","0.124145471141657","0.122391692237924","0.117176774593744","0.121177959834811","0.117390946224459","0.117708567794818","0.118739123962911","","",
"安哥拉","AGO","二氧化碳排放量（千克/2011 年PPP美元GDP）","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0961393844183561","0.0967919220319479","0.10602965264693","0.1879361359128","0.226063699576332","0.221279742815639","0.236557236830519","0.230799413820724","0.22877915518771","0.235109682645027","0.209874024128153","0.198419267787883","0.17161075409944","0.177992019181403","0.167030066217545","0.131558818554007","0.123531816339466","0.111034358473641","0.113473644172447","0.123418242401441","0.126880234475957","0.128379927257853","0.118278908471","0.127289418926584","0.133462702491285","0.141233812978296","0.136316924749068","0.11124500594067","0.111380767615973","0.118017657696381","","",
"阿尔巴尼亚","ALB","二氧化碳排放量（千克/2011 年PPP美元GDP）","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.376947431470968","0.355456172289087","0.209413516288046","0.177365547387285","0.164563091255313","0.135395394580883","0.124745119913599","0.106110627709313","0.118726659943149","0.174499064859428","0.174152812107055","0.163859683975496","0.182469120482445","0.187165427976981","0.185228281620449","0.166441727272347","0.156384850083959","0.15233978407547","0.139657586317932","0.139761740732325","0.142111116601293","0.151040557515611","0.133883344615119","0.134987320696557","0.143985346585013","0.135015224153485","0.126723014086144","0.140066382773958","0.133868236047748","0.123944936114554","","",
"安道尔共和国","AND","二氧化碳排放量（千克/2011 年PPP美元GDP）","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"阿拉伯联盟国家","ARB","二氧化碳排放量（千克/2011 年PPP美元GDP）","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.295439326109103","0.288968736291299","0.299158175295428","0.31380349471852","0.323353158312663","0.324327468433287","0.321043831447664","0.322501329896725","0.308332883195874","0.306504924579846","0.300098806872287","0.311364554015616","0.320198598535724","0.314437646750001","0.305358904261195","0.309273858042226","0.307971197814488","0.306697309715978","0.313902955048685","0.322919661328514","0.327067294992146","0.323738953361917","0.327402350732262","0.324711342493248","0.32565741667644","0.321213987356431","0.313375206106193","0.31216538036915","0.300633128037997","0.304267621106819","","",
"阿拉伯联合酋长国","ARE","二氧化碳排放量（千克/2011 年PPP美元GDP）","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.274384650559897","0.303334187155861","0.284647806930618","0.299560222770868","0.311773343532353","0.310354367038004","0.306457173319357","0.293753627268285","0.300127331248423","0.299456638946539","0.267143986409138","0.302231985828347","0.300971280463212","0.289655847185488","0.280127607537887","0.282820438958275","0.26876627087131","0.282477811028351","0.324032462930879","0.344086841486114","0.351103286486607","0.334021197293511","0.338025171316917","0.338030573119539","0.325022531891633","0.321630241925775","0.313798910897874","0.305250404738539","0.270832240787398","0.285618111328727","","",
"阿根廷","ARG","二氧化碳排放量（千克/2011 年PPP美元GDP）","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.217433207095566","0.210358364895708","0.198587759085574","0.187487800271641","0.179799996967475","0.186686123709768","0.192047016837684","0.182813447877876","0.185178114520677","0.194325143730064","0.192608720694231","0.190813574505299","0.20082568070104","0.200525866596056","0.203685085282725","0.19322321574873","0.18974671222438","0.182956122746641","0.180595857030888","0.179720682465251","0.17429712271675","0.173687672176404","0.176800331920653","0.17777967618414","0.178729423688695","0.179741549967263","0.18119583446031","0.172534137625635","0.174780398890866","0.169476847674842","","",
