"Data Source","世界发展指标",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"澳大利亚","AUS","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","263630","264760","268400","273050","280180","290180","300810","307850","328620","333710","339450","345640","353369.995117188","352579.986572266","365809.997558594","370089.996337891","375489.990234375","385750","388940.002441406","395290.008544922","387540.008544922","386380.004882813","386970.001220703","380279.998779297","371630.004882813","377799.987792969","384989.990234375","389160.003662109","387070.007324219","386529.998779297","","",
"奥地利","AUT","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58270","62420","57660","57800","58280","61180","64900","64220","64670","63050","63530","67910","69370.002746582","74459.9990844727","75800.0030517578","76239.9978637695","74099.9984741211","71239.9978637695","70730.0033569336","64419.9981689453","69959.9990844727","68269.9966430664","65110.0006103516","65750","62049.9992370605","63240.0016784668","63680.0003051758","65860.0006103516","63060.001373291","64769.9966430664","","",
"阿塞拜疆","AZE","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53480","52060","63610","48050","33520","32470","27190","26490","26490","26120","27690","26400","26180.0003051758","28569.9996948242","28309.9994659424","30040.0009155273","30489.9997711182","27629.9991607666","30450.0007629395","25500","24309.9994659424","27280.0006866455","30110.0006103516","30940.0005340576","32240.0016784668","31770.0004577637","32240.0016784668","31959.9990844727","32729.9995422363","35509.9983215332","","",
"布隆迪","BDI","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","170","220","180","190","190","200","210","210","220","230","260","200","209.999993443489","159.999996423721","150.000005960464","150.000005960464","180.000007152557","180.000007152557","180.000007152557","180.000007152557","300.000011920929","360.000014305115","370.000004768372","389.999985694885","379.999995231628","400.000005960464","439.999997615814","529.999971389771","689.999997615814","720.000028610229","","",
"比利时","BEL","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109310","113960","112330","110110","114900","114570","119450","116630","119410","115510","117270","118340","110849.998474121","115500","114019.996643066","110610.000610352","108650.001525879","104589.996337891","106930.000305176","99669.9981689453","106720.001220703","96480.0033569336","95269.9966430664","96589.9963378906","90139.9993896484","95129.997253418","94220.0012207031","92720.0012207031","93660.0036621094","93010.0021362305","","",
"贝宁","BEN","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","330","270","280","290","280","300","970","1240","1210","1340","1420","1740","2180.0000667572","2440.00005722046","2650.00009536743","2900.00009536743","3470.00002861023","4000","4019.99998092651","4420.00007629395","4829.99992370605","4650.00009536743","4440.00005722046","4679.99982833862","5190.00005722046","5510.00022888184","6739.99977111816","6869.99988555908","7420.00007629395","7300.00019073486","","",
"布基纳法索","BFA","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","510","520","530","540","570","630","690","760","890","940","970","959.999978542328","1039.99996185303","1059.99994277954","1059.99994277954","1240.00000953674","1409.9999666214","1700.00004768372","1730.00001907349","2289.99996185303","2460.00003814697","2940.00005722046","3130.00011444092","3180.0000667572","3700.00004768372","3700.00004768372","4269.99998092651","4670.00007629395","5000","","",
"孟加拉国","BGD","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11520","10830","11820","12570","13540","16550","16830","18970","19250","20110","21650","25780","27430.0003051758","28629.9991607666","30530.0006866455","32709.9990844727","35900.0015258789","37990.0016784668","41580.0018310547","44750","50580.0018310547","54419.9981689453","57990.0016784668","60599.9984741211","63830.0018310547","72190.0024414063","74379.997253418","79339.9963378906","83449.9969482422","90739.9978637695","","",
"保加利亚","BGR","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73610","58830","55360","55930","53720","54880","55300","52990","50480","44320","43420","46190","43599.9984741211","47930.0003051758","47270.0004577637","47990.0016784668","48950.0007629395","52599.9984741211","50040.0009155273","42909.9998474121","44740.0016784668","49639.9993896484","45020.0004577637","39659.9998474121","42049.9992370605","44560.001373291","41590.0001525879","43880.0010681152","40900.0015258789","39139.9993896484","","",
"巴林","BHR","二氧化碳排放量（千吨）","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10740","10350","12270","13070","13370","13540","14150","14420","15490","15450","15880","16390","17219.9993133545","17940.0005340576","17930.0003051758","20690.0005340576","22489.9997711182","23000","24760.0002288818","24719.9993133545","25969.9993133545","26020.0004577637","27170.0000762939","28850.0003814697","30280.0006866455","30579.9999237061","30299.9992370605","30520.0004577637","30809.9994659424","33259.9983215332","","",
